season,circuitName,country,location,lat,lng,avgPoints,totalPoints,avgFinish,medianFinish,bestFinishDriver,worstFinishDriver,raceCount,rounds,countryavgPoints,countryID
2023,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 8,25,124
2023,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 13,25,528
2023,Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 7,26,724
2023,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 6,25,492
2023,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 12,25,056
2023,Circuit of the Americas,USA,Austin,30.1328,-97.6411,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 18,25.5,840
2023,Hungaroring,Hungary,Budapest,47.5789,19.2486,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 11,26,348
2023,Jeddah Corniche Circuit,Saudi Arabia,Jeddah,21.6319,39.1044,19,19,2,2,2 (Max Verstappen),2 (Max Verstappen),1,Round 2,19,682
2023,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173,25,25,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 21,25,840
2023,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 17,26,634
2023,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,10,10,5,5,5 (Max Verstappen),5 (Max Verstappen),1,Round 15,10,702
2023,Miami International Autodrome,USA,Miami,25.9581,-80.2389,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 5,25.5,840
2023,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 9,26,040
2023,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 10,26,826
2023,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 16,26,392
2023,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,26,26,1,1,1 (Max Verstappen),1 (Max Verstappen),1,Round 22,26,784
2024,Albert Park Grand Prix Circuit,Australia,Melbourne,-37.8497,144.968,25,25,1,1,1 (Carlos Sainz),1 (Carlos Sainz),1,Round 3,25,036
2024,Autodromo Enzo e Dino Ferrari,Italy,Imola,44.3439,11.7167,10,10,5,5,5 (Carlos Sainz),5 (Carlos Sainz),1,Round 7,11,380
2024,Autodromo Hermanos Rodriguez,Mexico,Mexico City,19.4042,-99.0907,25,25,1,1,1 (Carlos Sainz),1 (Carlos Sainz),1,Round 20,25,484
2024,Autodromo Jose Carlos Pace,Brazil,Sao Paulo,-23.7036,-46.6997,0,0,16,16,16 (Carlos Sainz),16 (Carlos Sainz),1,Round 21,0,076
2024,Autodromo Nazionale di Monza,Italy,Monza,45.6156,9.28111,12,12,4,4,4 (Carlos Sainz),4 (Carlos Sainz),1,Round 16,11,380
2024,Bahrain International Circuit,Bahrain,Sakhir,26.0325,50.5106,15,15,3,3,3 (Carlos Sainz),3 (Carlos Sainz),1,Round 1,15,048
2024,Baku City Circuit,Azerbaijan,Baku,40.3725,49.8533,0,0,18,18,18 (Carlos Sainz),18 (Carlos Sainz),1,Round 17,0,031
2024,Circuit Gilles Villeneuve,Canada,Montreal,45.5,-73.5228,0,0,16,16,16 (Carlos Sainz),16 (Carlos Sainz),1,Round 9,0,124
2024,Circuit Park Zandvoort,Netherlands,Zandvoort,52.3888,4.54092,10,10,5,5,5 (Carlos Sainz),5 (Carlos Sainz),1,Round 15,10,528
2024,Circuit de Barcelona-Catalunya,Spain,Montmelo,41.57,2.26111,8,8,6,6,6 (Carlos Sainz),6 (Carlos Sainz),1,Round 10,8,724
2024,Circuit de Monaco,Monaco,Monte-Carlo,43.7347,7.42056,15,15,3,3,3 (Carlos Sainz),3 (Carlos Sainz),1,Round 8,15,492
2024,Circuit de Spa-Francorchamps,Belgium,Spa,50.4372,5.97139,8,8,6,6,6 (Carlos Sainz),6 (Carlos Sainz),1,Round 14,8,056
2024,Circuit of the Americas,USA,Austin,30.1328,-97.6411,18,18,2,2,2 (Carlos Sainz),2 (Carlos Sainz),1,Round 19,14,840
2024,Hungaroring,Hungary,Budapest,47.5789,19.2486,8,8,6,6,6 (Carlos Sainz),6 (Carlos Sainz),1,Round 13,8,348
2024,Las Vegas Strip Street Circuit,United States,Las Vegas,36.1147,-115.173,15,15,3,3,3 (Carlos Sainz),3 (Carlos Sainz),1,Round 22,15,840
2024,Losail International Circuit,Qatar,Al Daayen,25.49,51.4542,8,8,6,6,6 (Carlos Sainz),6 (Carlos Sainz),1,Round 23,8,634
2024,Marina Bay Street Circuit,Singapore,Marina Bay,1.2914,103.864,6,6,7,7,7 (Carlos Sainz),7 (Carlos Sainz),1,Round 18,6,702
2024,Miami International Autodrome,USA,Miami,25.9581,-80.2389,10,10,5,5,5 (Carlos Sainz),5 (Carlos Sainz),1,Round 6,14,840
2024,Red Bull Ring,Austria,Spielberg,47.2197,14.7647,15,15,3,3,3 (Carlos Sainz),3 (Carlos Sainz),1,Round 11,15,040
2024,Shanghai International Circuit,China,Shanghai,31.3389,121.22,10,10,5,5,5 (Carlos Sainz),5 (Carlos Sainz),1,Round 5,10,156
2024,Silverstone Circuit,UK,Silverstone,52.0786,-1.01694,11,11,5,5,5 (Carlos Sainz),5 (Carlos Sainz),1,Round 12,11,826
2024,Suzuka Circuit,Japan,Suzuka,34.8431,136.541,15,15,3,3,3 (Carlos Sainz),3 (Carlos Sainz),1,Round 4,15,392
2024,Yas Marina Circuit,UAE,Abu Dhabi,24.4672,54.6031,18,18,2,2,2 (Carlos Sainz),2 (Carlos Sainz),1,Round 24,18,784
